iter	Passed	Remaining
706	7365	44726
707	7377	44724
708	7389	44719
709	7401	44722
710	7413	44718
711	7423	44705
712	7433	44695
713	7444	44688
714	7457	44690
715	7469	44694
716	7481	44692
717	7495	44699
718	7507	44703
719	7518	44691
720	7529	44686
721	7541	44683
722	7551	44671
723	7561	44658
724	7573	44655
725	7587	44669
726	7605	44704
727	7616	44695
728	7626	44679
729	7636	44666
730	7646	44654
731	7655	44634
732	7665	44625
733	7674	44605
734	7683	44587
735	7693	44574
736	7702	44552
737	7711	44534
738	7720	44515
739	7730	44500
740	7739	44483
741	7747	44460
742	7757	44444
743	7766	44427
744	7775	44408
745	7785	44397
746	7795	44381
747	7805	44369
748	7814	44353
749	7824	44339
750	7837	44340
751	7847	44329
752	7860	44332
753	7871	44324
754	7881	44314
755	7890	44293
756	7898	44272
757	7906	44248
758	7915	44229
759	7924	44209
760	7933	44189
761	7941	44168
762	7949	44144
763	7960	44136
764	7968	44114
765	7977	44094
766	7985	44073
767	7996	44064
768	8008	44061
769	8019	44052
770	8030	44047
771	8038	44023
772	8046	43999
773	8053	43973
774	8061	43948
775	8069	43923
776	8077	43902
777	8085	43877
778	8093	43852
779	8101	43830
780	8109	43807
781	8116	43781
782	8125	43761
783	8133	43737
784	8142	43718
785	8150	43694
786	8159	43677
787	8167	43657
788	8175	43635
789	8184	43614
790	8192	43591
791	8200	43567
792	8207	43542
793	8215	43519
794	8224	43500
795	8232	43478
796	8239	43453
797	8247	43429
798	8255	43406
799	8263	43383
800	8272	43365
801	8279	43339
802	8287	43316
803	8295	43292
804	8302	43268
805	8310	43245
806	8320	43232
807	8327	43206
808	8337	43192
809	8345	43170
810	8353	43148
811	8361	43124
812	8369	43105
813	8377	43081
814	8385	43056
815	8392	43033
816	8400	43011
817	8408	42987
818	8416	42968
819	8425	42948
820	8435	42938
821	8445	42928
822	8455	42912
823	8464	42899
824	8472	42878
825	8480	42855
826	8488	42833
827	8496	42813
828	8504	42789
829	8512	42768
830	8521	42749
831	8531	42737
832	8540	42723
833	8549	42705
834	8557	42683
835	8566	42666
836	8573	42642
837	8581	42619
838	8589	42597
839	8597	42576
840	8604	42551
841	8612	42532
842	8620	42510
843	8629	42495
844	8637	42471
845	8647	42459
846	8656	42444
847	8669	42446
848	8680	42441
849	8688	42421
850	8697	42403
851	8710	42407
852	8721	42400
853	8744	42455
854	8766	42497
855	8780	42506
856	8789	42491
857	8802	42496
858	8815	42495
859	8824	42479
860	8839	42492
861	8854	42506
862	8865	42497
863	8875	42487
864	8891	42503
865	8901	42491
866	8916	42504
867	8929	42508
868	8946	42530
869	8965	42560
870	8977	42558
871	8987	42547
872	8996	42531
873	9009	42532
874	9022	42533
875	9030	42511
876	9040	42501
877	9050	42487
878	9059	42474
879	9071	42470
880	9081	42457
881	9091	42446
882	9101	42435
883	9113	42435
884	9124	42427
885	9138	42431
886	9151	42436
887	9162	42429
888	9175	42431
889	9186	42422
890	9194	42401
891	9204	42389
892	9213	42374
893	9223	42360
894	9232	42346
895	9240	42324
896	9250	42314
897	9258	42294
898	9269	42282
899	9278	42268
900	9286	42249
901	9296	42235
902	9306	42224
